Breadcrumbs,Product Name,Selling Price,Regular Price,Discount Percentage,Color,Sizes Available,Product URL,data_source_url
Women New Arrivals,CloudForm™ High Waist 5″ Side Pocket Biker Short - Pistachio,$22,$38,40% Off,Pistachio,"XXS, XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/cloudform-high-waist-5-side-pocket-biker-short-pistachio,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Rosa Textured Sleeveless Romper - Chocolate,$17.99,$29.99,40% Off,Chocolate,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/rosa-textured-sleeveless-romper-fncolorname-chocolate,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Livana Wrap Up Novelty Wedges - Chocolate,$19.49,$32.99,40% Off,Chocolate,"5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 10, 11",https://www.fashionnova.com/products/livana-wrap-up-novelty-wedges-fncolorname-chocolate,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,On The Horizon Crochet Halter Top - Terracotta,$17.99,$29.99,40% Off,Terracotta,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/on-the-horizon-crochet-halter-top-fncolorname-terracotta,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Strollin' Around Pant Set - Light Blue,$20.99,$34.99,40% Off,Light Blue,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/strollin-around-pant-set-fncolorname-light-blue,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Josie Padded Sweetheart Neck Spaghetti Strap Bodysuit - Cream,$11.99,$19.99,40% Off,Cream,"XS, S, M, L, XL",https://www.fashionnova.com/products/josie-padded-sweetheart-neck-spaghetti-strap-bodysuit-fncolorname-cream,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Athletic Oversized Polo - Red/White,$23.99,$39.99,40% Off,Red/White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/athletic-oversized-polo-fncolorname-red-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Pretty With Purpose Maxi Dress - Green,$35.99,$59.99,40% Off,Green,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/pretty-with-purpose-maxi-dress-fncolorname-green,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Back To Reality Ripped Straight Leg Jeans - Black Wash,$24.00,$34.99,DEALS,Black Wash,"0, 1, 3, 5, 7, 9, 11, 13, 15, 14 Plus, 16 Plus, 18 Plus, 20 Plus, 22 Plus",https://www.fashionnova.com/products/back-to-reality-ripped-straight-leg-jeans-fncolorname-black-wash,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Haven Keyhole Pant Set - Chocolate,$23.99,$39.99,40% Off,Chocolate,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/haven-keyhole-pant-set-fncolorname-chocolate,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Serena Plunge Sleeveless Catsuit - Black,$23.99,$39.99,40% Off,Black,"XS, S, M, L, XL",https://www.fashionnova.com/products/serena-plunge-sleeveless-catsuit-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Kirin Striped Tie Waist Micro Mini Skirt - Grey/combo,$14.99,$24.99,40% Off,Grey/combo,"XXS, XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/kirin-striped-tie-waist-micro-mini-skirt-fncolorname-grey-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Catalina Crochet Maxi Dress - Orange,$32.99,$54.99,40% Off,Orange,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/catalina-crochet-maxi-dress-fncolorname-orange,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
