product_name,website,product_price,image1,image2,image3,description,product_url
Fairtrade Baby Bananen,lidl.ch,3.69,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80021_OGFG.jpg,,,Herkunft: Ecuador,https://sortiment.lidl.ch/de/catalog/product/view/id/15826/s/fairtrade-baby-bananen-0080021/category/64/
Zitronen,lidl.ch,1.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80171_OGAX.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/15786/s/zitronen-0080171/category/64/
Schweizer Schalotten,lidl.ch,1.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/3/83377_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/15555/s/schweizer-schalotten-0083377/category/64/
Spitzpeperoni hellgrün,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82569_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/15399/s/spitzpeperoni-hellgruen-0082569/category/64/
Schweizer Rüebli,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82761_PSXX.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/15344/s/schweizer-rueebli-0082761/category/64/
Bio Birnen,lidl.ch,2.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81580_OGAX.jpg,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/1/81580_OGFG.jpg,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/14749/s/bio-birnen-0081580/category/64/
Saftorangen,lidl.ch,2.1,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80155_OGFG_1.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/14074/s/saftorangen-0080155/category/64/
Baby Wassermelonen,lidl.ch,1.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80537_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/13976/s/baby-wassermelonen-0080537/category/64/
Limette,lidl.ch,0.49,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80066_OGFG_1.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/13946/s/limette-0080066/category/64/
Schweizer Äpfel rot,lidl.ch,3.69,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80229_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/13891/s/schweizer-aepfel-rot-0080229/category/64/
Schweizer Bio Romana,lidl.ch,2.99,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/4/84426_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/13774/s/schweizer-bio-romana-0084426/category/64/
Bio Baby Spinat,lidl.ch,1.29,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/4/84440_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/13744/s/bio-baby-spinat-0084440/category/64/
Dattelcherry-Tomaten,lidl.ch,4.95,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/2/82411_OGFG.jpg,,,Herkunft: variabel,https://sortiment.lidl.ch/de/catalog/product/view/id/13741/s/dattelcherry-tomaten-0082411/category/64/
Schweizer Äpfel rot,lidl.ch,2.79,https://sortiment.lidl.ch/media/catalog/product/cache/b4d8daca087e724c0fba4501ead491d0/8/0/80220_OGFG.jpg,,,,https://sortiment.lidl.ch/de/catalog/product/view/id/13737/s/schweizer-aepfel-rot-0080220/category/64/
